impartiality,interest,0.47
seven,series,0.71
student,professor,0.67
start,match,0.71
nature,environment,0.66
money,withdrawal,0.76
asylum,madhouse,0.6
soap,opera,0.24
precedent,antecedent,0.54
food,rooster,0.66
population,development,0.8
game,series,0.78
cup,article,0.23
video,archive,0.52
currency,market,0.87
phone,equipment,0.41
psychology,depression,0.51
cup,artifact,0.25
football,tennis,0.43
weather,forecast,0.63
coast,hill,0.59
psychology,science,0.84
peace,plan,0.7
seafood,lobster,0.74
stock,market,0.63
law,lawyer,0.53
alcohol,chemistry,0.81
tiger,cat,0.94
ministry,culture,0.54
network,hardware,0.73
dollar,buck,0.43
environment,ecology,0.85
king,rook,0.7
problem,challenge,0.77
football,soccer,0.85
drug,abuse,0.56
bread,butter,0.92
secretary,senate,0.38
murder,manslaughter,0.76
precedent,information,0.52
disability,death,0.57
money,wealth,0.76
lad,brother,0.34
reason,criterion,0.88
arrival,hotel,0.65
psychology,clinic,0.68
school,center,0.43
championship,tournament,0.73
water,seepage,0.77
hotel,reservation,0.79
production,crew,0.83
calculation,computation,0.95
morality,importance,0.74
volunteer,motto,0.44
cup,liquid,0.31
discovery,space,0.74
food,fruit,0.79
cup,coffee,0.31
smart,student,0.78
bishop,rabbi,0.9
governor,interview,0.13
delay,news,0.74
forest,graveyard,0.82
journey,voyage,0.93
grocery,money,0.2
listing,proximity,0.02
doctor,liability,0.52
architecture,century,0.14
governor,office,0.77
investigation,effort,0.45
dividend,calculation,0.74
equipment,maker,0.62
stock,egg,0.56
lawyer,evidence,0.26
luxury,car,0.69
liquid,water,0.86
man,woman,0.93
drink,car,0.68
deployment,withdrawal,0.86
treatment,recovery,0.85
tiger,organism,0.72
seafood,food,0.87
consumer,confidence,0.65
sugar,approach,0.38
computer,news,0.7
government,crisis,0.8
doctor,personnel,0.27
doctor,nurse,0.73
exhibit,memorabilia,0.42
money,deposit,0.79
car,flight,0.76
brother,monk,0.38
psychology,psychiatry,0.92
company,stock,0.59
focus,life,0.4
weapon,secret,0.89
mile,kilometer,0.84
board,recommendation,0.93
stock,jaguar,0.63
computer,internet,0.56
glass,magician,0.73
energy,crisis,0.74
tiger,animal,0.81
hospital,infrastructure,0.64
territory,surface,0.94
psychology,fear,0.73
nature,man,0.64
minority,peace,0.68
life,death,0.76
psychology,doctor,0.58
car,automobile,0.63
computer,keyboard,0.69
cup,substance,0.29
book,paper,0.95
planet,moon,0.94
planet,space,0.69
experience,music,0.81
computer,software,0.75
movie,star,0.7
museum,theater,0.84
practice,institution,0.86
precedent,group,0.74
book,library,0.88
bird,cock,0.75
drink,eat,0.81
money,possession,0.6
travel,activity,0.33
boy,lad,0.88
tiger,fauna,0.59
midday,noon,0.84
peace,insurance,0.5
professor,doctor,0.62
line,insurance,0.41
man,governor,0.69
atmosphere,landscape,0.89
tiger,zoo,0.92
seafood,sea,0.49
territory,kilometer,0.16
announcement,warning,0.49
change,attitude,0.61
registration,arrangement,0.74
wood,forest,0.78
marathon,sprint,0.55
psychology,discipline,0.84
game,round,0.42
glass,metal,0.51
disaster,area,0.74
summer,nature,0.58
king,cabbage,0.61
baby,mother,0.52
psychology,cognition,0.87
day,dawn,0.75
