impartiality,interest,0.1
seven,series,0.14
student,professor,0.17
start,match,0.1
nature,environment,0.31
money,withdrawal,0.11
asylum,madhouse,0.08
soap,opera,0.16
precedent,antecedent,0.2
food,rooster,0.12
population,development,0.09
game,series,0.26
cup,article,0.02
video,archive,0.31
currency,market,0.31
phone,equipment,0.26
psychology,depression,0.12
cup,artifact,0.02
football,tennis,0.45
weather,forecast,0.29
coast,hill,0.13
psychology,science,0.51
peace,plan,0.11
seafood,lobster,0.34
stock,market,0.27
law,lawyer,0.25
alcohol,chemistry,0.15
tiger,cat,0.46
ministry,culture,0.23
network,hardware,0.33
dollar,buck,0.17
environment,ecology,0.37
king,rook,0.17
problem,challenge,0.23
football,soccer,0.62
drug,abuse,0.36
bread,butter,0.53
secretary,senate,0.23
murder,manslaughter,0.39
precedent,information,0.2
disability,death,0.1
money,wealth,0.3
lad,brother,0.15
reason,criterion,0.23
arrival,hotel,0.05
psychology,clinic,0.2
school,center,0.16
championship,tournament,0.57
water,seepage,0.25
hotel,reservation,0.2
production,crew,0.14
calculation,computation,0.56
morality,importance,0.11
volunteer,motto,0.14
cup,liquid,0.04
discovery,space,0.16
food,fruit,0.37
cup,coffee,0.07
smart,student,0.13
bishop,rabbi,0.42
governor,interview,0.12
delay,news,0.1
forest,graveyard,0.19
journey,voyage,0.51
grocery,money,0.12
listing,proximity,0.02
doctor,liability,0.07
architecture,century,0.12
governor,office,0.06
investigation,effort,0.25
dividend,calculation,0.21
equipment,maker,0.16
stock,egg,0.17
lawyer,evidence,0.05
luxury,car,0.27
liquid,water,0.4
man,woman,0.63
drink,car,0.15
deployment,withdrawal,0.35
treatment,recovery,0.37
tiger,organism,0.13
seafood,food,0.47
consumer,confidence,0.18
sugar,approach,0.08
computer,news,0.13
government,crisis,0.15
doctor,personnel,0.11
doctor,nurse,0.38
exhibit,memorabilia,0.22
money,deposit,0.21
car,flight,0.16
brother,monk,0.32
psychology,psychiatry,0.49
company,stock,0.19
focus,life,0.05
weapon,secret,0.14
mile,kilometer,0.58
board,recommendation,0.12
stock,jaguar,0.17
computer,internet,0.33
glass,magician,0.14
energy,crisis,0.15
tiger,animal,0.25
hospital,infrastructure,0.13
territory,surface,0.08
psychology,fear,0.09
nature,man,0.12
minority,peace,0.13
life,death,0.15
psychology,doctor,0.1
car,automobile,0.53
computer,keyboard,0.33
cup,substance,0.02
book,paper,0.26
planet,moon,0.27
planet,space,0.17
experience,music,0.12
computer,software,0.51
movie,star,0.19
museum,theater,0.26
practice,institution,0.19
precedent,group,0.08
book,library,0.12
bird,cock,0.23
drink,eat,0.42
money,possession,0.2
travel,activity,0.18
boy,lad,0.31
tiger,fauna,0.22
midday,noon,0.43
peace,insurance,0.12
professor,doctor,0.26
line,insurance,0.04
man,governor,0.07
atmosphere,landscape,0.33
tiger,zoo,0.2
seafood,sea,0.1
territory,kilometer,0.07
announcement,warning,0.22
change,attitude,0.23
registration,arrangement,0.24
wood,forest,0.24
marathon,sprint,0.36
psychology,discipline,0.32
game,round,0.21
glass,metal,0.42
disaster,area,0.1
summer,nature,0.03
king,cabbage,0.06
baby,mother,0.26
psychology,cognition,0.4
day,dawn,0.14
magician,wizard,0.4
announcement,effort,0.14
planet,galaxy,0.33
tiger,tiger,1.0
stock,phone,0.14
monk,oracle,0.23
oil,stock,0.18
profit,loss,0.26
food,preparation,0.22
energy,laboratory,0.23
record,number,0.06
deployment,departure,0.27
